;Var1;Var2;target;;;;;;;;;
332;244;196;true;,{Var1:244,Var2:196,spam:true};;;;;;;;
333;149;126;true;,{Var1:149,Var2:126,spam:true};;;;;;;;
334;59;36;true;,{Var1:59,Var2:36,spam:true};;;;;;;;
335;186;-124;true;,{Var1:186,Var2:-124,spam:true};;;;;;;;
336;211;195;true;,{Var1:211,Var2:195,spam:true};;;;;;;;
337;30;29;true;,{Var1:30,Var2:29,spam:true};;;;;;;;
338;317;336;true;,{Var1:317,Var2:336,spam:true};;;;;;;;
339;188;-126;true;,{Var1:188,Var2:-126,spam:true};;;;;;;;
340;387;-325;true;,{Var1:387,Var2:-325,spam:true};;;;;;;;
341;170;-83;true;,{Var1:170,Var2:-83,spam:true};;;;;;;;
342;73;55;true;,{Var1:73,Var2:55,spam:true};;;;;;;;
343;228;56;true;,{Var1:228,Var2:56,spam:true};;;;;;;;
344;150;-125;true;,{Var1:150,Var2:-125,spam:true};;;;;;;;
345;100;-27;true;,{Var1:100,Var2:-27,spam:true};;;;;;;;
346;145;-66;true;,{Var1:145,Var2:-66,spam:true};;;;;;;;
347;195;234;true;,{Var1:195,Var2:234,spam:true};;;;;;;;
348;25;31;true;,{Var1:25,Var2:31,spam:true};;;;;;;;
349;205;165;true;,{Var1:205,Var2:165,spam:true};;;;;;;;
350;235;99;true;,{Var1:235,Var2:99,spam:true};;;;;;;;
351;191;68;true;,{Var1:191,Var2:68,spam:true};;;;;;;;
352;142;-117;true;,{Var1:142,Var2:-117,spam:true};;;;;;;;
353;121;-7;true;,{Var1:121,Var2:-7,spam:true};;;;;;;;
354;134;-19;true;,{Var1:134,Var2:-19,spam:true};;;;;;;;
355;146;-12;true;,{Var1:146,Var2:-12,spam:true};;;;;;;;
356;289;308;true;,{Var1:289,Var2:308,spam:true};;;;;;;;
357;282;-179;true;,{Var1:282,Var2:-179,spam:true};;;;;;;;
358;178;48;true;,{Var1:178,Var2:48,spam:true};;;;;;;;
359;152;104;true;,{Var1:152,Var2:104,spam:true};;;;;;;;
360;216;178;true;,{Var1:216,Var2:178,spam:true};;;;;;;;
361;137;102;true;,{Var1:137,Var2:102,spam:true};;;;;;;;
362;185;27;true;,{Var1:185,Var2:27,spam:true};;;;;;;;
363;404;-412;true;,{Var1:404,Var2:-412,spam:true};;;;;;;;
364;181;29;true;,{Var1:181,Var2:29,spam:true};;;;;;;;
365;276;-173;true;,{Var1:276,Var2:-173,spam:true};;;;;;;;
366;156;-38;true;,{Var1:156,Var2:-38,spam:true};;;;;;;;
367;155;45;true;,{Var1:155,Var2:45,spam:true};;;;;;;;
368;89;56;true;,{Var1:89,Var2:56,spam:true};;;;;;;;
369;119;-45;true;,{Var1:119,Var2:-45,spam:true};;;;;;;;
370;237;-125;true;,{Var1:237,Var2:-125,spam:true};;;;;;;;
371;92;25;true;,{Var1:92,Var2:25,spam:true};;;;;;;;
372;96;-5;true;,{Var1:96,Var2:-5,spam:true};;;;;;;;
373;113;137;true;,{Var1:113,Var2:137,spam:true};;;;;;;;
374;43;42;true;,{Var1:43,Var2:42,spam:true};;;;;;;;
375;144;233;true;,{Var1:144,Var2:233,spam:true};;;;;;;;
376;171;172;true;,{Var1:171,Var2:172,spam:true};;;;;;;;
377;73;7;true;,{Var1:73,Var2:7,spam:true};;;;;;;;
378;164;172;true;,{Var1:164,Var2:172,spam:true};;;;;;;;
379;68;77;true;,{Var1:68,Var2:77,spam:true};;;;;;;;
380;106;117;true;,{Var1:106,Var2:117,spam:true};;;;;;;;
381;89;97;true;,{Var1:89,Var2:97,spam:true};;;;;;;;
382;220;180;true;,{Var1:220,Var2:180,spam:true};;;;;;;;
383;64;89;true;,{Var1:64,Var2:89,spam:true};;;;;;;;
384;111;11;true;,{Var1:111,Var2:11,spam:true};;;;;;;;
385;183;215;true;,{Var1:183,Var2:215,spam:true};;;;;;;;
386;116;39;true;,{Var1:116,Var2:39,spam:true};;;;;;;;
387;218;29;true;,{Var1:218,Var2:29,spam:true};;;;;;;;
388;155;-70;true;,{Var1:155,Var2:-70,spam:true};;;;;;;;
389;205;165;true;,{Var1:205,Var2:165,spam:true};;;;;;;;
